title,team,location,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,url
Data Engineer,Hardware,,2026-06-05,200666679,apple,2026-06-05,2026-06-09,0.3733,https://jobs.apple.com/en-us/details/200666679-0836/data-engineer?team=HRDWR
"Senior Machine Learning Research Engineer, NLP,  Input Experience",Machine Learning and AI,,2026-06-05,200651071,apple,2026-05-29,2026-06-09,0.4036,https://jobs.apple.com/en-us/details/200651071-0836/senior-machine-learning-research-engineer-nlp-input-experience?team=MLAI
"SRE Manager, ML Operations - Apple Ads",Software and Services,,2026-06-05,200667013,apple,2026-06-05,2026-06-09,0.3475,https://jobs.apple.com/en-us/details/200667013-2459/sre-manager-ml-operations-apple-ads?team=SFTWR
"Senior Operations Engineer, Retail Store Operations & Support - Retail & Marcom Engineering",Corporate Functions,,2026-06-05,200666650,apple,2026-06-05,2026-06-09,0.3948,https://jobs.apple.com/en-us/details/200666650-0157/senior-operations-engineer-retail-store-operations-support-retail-marcom-engineering?team=CORSV
US-Manager,Apple Retail,,2026-06-05,200666971,apple,2026-06-05,2026-06-09,0.3003,https://jobs.apple.com/en-us/details/200666971-2867/us-manager?team=APPST
Systems Quality Robotics Automation Engineer,Hardware,,2026-06-05,200648505,apple,2026-06-05,2026-06-09,0.2982,https://jobs.apple.com/en-us/details/200648505-0836/systems-quality-robotics-automation-engineer?team=HRDWR
"Director of Engineering, AiDP Data Services",Machine Learning and AI,,2026-06-05,200667043,apple,2026-06-05,2026-06-09,0.3897,https://jobs.apple.com/en-us/details/200667043-3956/director-of-engineering-aidp-data-services?team=MLAI
US-Manager,Apple Retail,,2026-06-05,200666974,apple,2026-06-05,2026-06-09,0.2713,https://jobs.apple.com/en-us/details/200666974-2497/us-manager?team=APPST
"Mechanical Design Engineer, AppleCare Engineering - Hardware Tool & Packaging Design",Hardware,Various Locations within San Francisco Bay Area,2026-06-05,200665693,apple,2026-06-05,2026-06-09,0.3185,https://jobs.apple.com/en-us/details/200665693-3401/mechanical-design-engineer-applecare-engineering-hardware-tool-packaging-design?team=HRDWR
Apple Ads - Program Operations Specialist,Marketing,,2026-06-05,200667054,apple,2026-06-05,2026-06-09,0.3339,https://jobs.apple.com/en-us/details/200667054-0670/apple-ads-program-operations-specialist?team=MKTG
HID Interaction Algorithm Engineer,Hardware,,2026-06-05,200660259,apple,2026-06-05,2026-06-09,0.1631,https://jobs.apple.com/en-us/details/200660259-3956/hid-interaction-algorithm-engineer?team=HRDWR
Kitchen/Caffe Equipment Maintenance Technician,Corporate Functions,,2026-06-05,200651536,apple,2026-06-05,2026-06-09,0.308,https://jobs.apple.com/en-us/details/200651536-0157/kitchen-caffe-equipment-maintenance-technician?team=CORSV
Machine Learning Video Engineer,Hardware,,2026-06-05,200618357,apple,2026-06-05,2026-06-09,0.3559,https://jobs.apple.com/en-us/details/200618357-0836/machine-learning-video-engineer?team=HRDWR
"Graphics Architect, Platform Architecture",Hardware,,2026-06-05,200667058,apple,2026-06-05,2026-06-09,0.2609,https://jobs.apple.com/en-us/details/200667058-0157/graphics-architect-platform-architecture?team=HRDWR
Senior Software Engineer,Software and Services,,2026-06-05,200654516,apple,2026-06-05,2026-06-09,0.3306,https://jobs.apple.com/en-us/details/200654516-3337/senior-software-engineer?team=SFTWR
iOS Software Engineer (MSO),Software and Services,,2026-06-05,200665666,apple,2026-06-05,2026-06-09,0.3339,https://jobs.apple.com/en-us/details/200665666-0836/ios-software-engineer-mso?team=SFTWR
Technical Enablement Engineer,Software and Services,,2026-06-05,200666578,apple,2026-06-05,2026-06-09,0.3643,https://jobs.apple.com/en-us/details/200666578-0836/technical-enablement-engineer?team=SFTWR
"AIML - ML Researcher, Responsible AI",Machine Learning and AI,,2026-06-05,200667081,apple,2026-06-05,2026-06-09,0.3613,https://jobs.apple.com/en-us/details/200667081-0836/aiml-ml-researcher-responsible-ai?team=MLAI
"Software Engineer (Data Solutions), AI & Data Platforms (AiDP)",Software and Services,,2026-06-05,200667022,apple,2026-06-05,2026-06-09,0.4383,https://jobs.apple.com/en-us/details/200667022-0157/software-engineer-data-solutions-ai-data-platforms-aidp?team=SFTWR
"Software Engineer (AML), AI & Data Platforms (AiDP)",Software and Services,,2026-06-05,200667037,apple,2026-06-05,2026-06-09,0.4105,https://jobs.apple.com/en-us/details/200667037-0157/software-engineer-aml-ai-data-platforms-aidp?team=SFTWR
"Data Platform SRE, AI & Data Platforms (AiDP)",Software and Services,,2026-06-05,200667035,apple,2026-06-05,2026-06-09,0.3534,https://jobs.apple.com/en-us/details/200667035-0157/data-platform-sre-ai-data-platforms-aidp?team=SFTWR
"Software Engineer (Framework Solutions), AI & Data Platforms (AiDP)",Software and Services,,2026-06-05,200667030,apple,2026-06-05,2026-06-09,0.4206,https://jobs.apple.com/en-us/details/200667030-0157/software-engineer-framework-solutions-ai-data-platforms-aidp?team=SFTWR
"Engineering Project Manager, Video Apps",Software and Services,,2026-06-05,200666987,apple,2026-06-05,2026-06-09,0.3101,https://jobs.apple.com/en-us/details/200666987-0157/engineering-project-manager-video-apps?team=SFTWR
"Community Specialist, Channel Retail",Sales and Business Development,,2026-06-05,200648996,apple,2026-06-05,2026-06-08,0.3394,https://jobs.apple.com/en-us/details/200648996-0551/community-specialist-channel-retail?team=SLDEV
US-Lead,Apple Retail,,2026-06-05,200663312,apple,2026-06-05,2026-06-08,0.2524,https://jobs.apple.com/en-us/details/200663312-2283/us-lead?team=APPST
US-Operations Specialist,Apple Retail,,2026-06-05,200666969,apple,2026-06-05,2026-06-08,0.3021,https://jobs.apple.com/en-us/details/200666969-2371/us-operations-specialist?team=APPST
Revenue Accountant - Global Services & Commerce,Corporate Functions,,2026-06-05,200655499,apple,2026-06-05,2026-06-08,0.2998,https://jobs.apple.com/en-us/details/200655499-0157/revenue-accountant-global-services-commerce?team=CORSV
Software Engineer - Regulatory AI & Connected Data,Software and Services,,2026-06-05,200666913,apple,2026-06-04,2026-06-08,0.4233,https://jobs.apple.com/en-us/details/200666913-0836/software-engineer-regulatory-ai-connected-data?team=SFTWR
Environmental Compliance Engineer,Hardware,,2026-06-05,200666902,apple,2026-06-04,2026-06-08,0.3249,https://jobs.apple.com/en-us/details/200666902-0836/environmental-compliance-engineer?team=HRDWR
System Experience - Notifications and Focus Engineer,Software and Services,,2026-06-05,200661462,apple,2026-06-04,2026-06-08,0.3038,https://jobs.apple.com/en-us/details/200661462-0836/system-experience-notifications-and-focus-engineer?team=SFTWR
"Senior Data Scientist, Experimentation & Causal Inference",Machine Learning and AI,,2026-06-05,200666485,apple,2026-06-04,2026-06-08,0.3898,https://jobs.apple.com/en-us/details/200666485-0836/senior-data-scientist-experimentation-causal-inference?team=MLAI
"Senior Data Scientist, Strategic Modeling & Simulation",Machine Learning and AI,,2026-06-05,200666451,apple,2026-06-04,2026-06-08,0.4166,https://jobs.apple.com/en-us/details/200666451-0836/senior-data-scientist-strategic-modeling-simulation?team=MLAI
"WW Retail Commercial Manager, Retail Segments",Corporate Functions,,2026-06-05,200666921,apple,2026-06-04,2026-06-08,0.3275,https://jobs.apple.com/en-us/details/200666921-0157/ww-retail-commercial-manager-retail-segments?team=CORSV
Custom Silicon Applications Engineer - Camera Hardware,Hardware,,2026-06-05,200666897,apple,2026-06-05,2026-06-08,0.1869,https://jobs.apple.com/en-us/details/200666897-0836/custom-silicon-applications-engineer-camera-hardware?team=HRDWR
Image Scientist - Camera Simulation,Hardware,Various Locations within San Francisco Bay Area,2026-06-05,200666900,apple,2026-06-05,2026-06-08,0.2416,https://jobs.apple.com/en-us/details/200666900-3401/image-scientist-camera-simulation?team=HRDWR
"Business Manager, Product Marketing",Corporate Functions,,2026-06-05,200665339,apple,2026-06-05,2026-06-08,0.3477,https://jobs.apple.com/en-us/details/200665339-0836/business-manager-product-marketing?team=CORSV
Communications Operations Strategist,Marketing,,2026-06-05,200664841,apple,2026-05-29,2026-06-08,0.323,https://jobs.apple.com/en-us/details/200664841-0836/communications-operations-strategist?team=MKTG
Camera Architect,Hardware,,2026-06-05,200666890,apple,2026-06-05,2026-06-08,0.1834,https://jobs.apple.com/en-us/details/200666890-3956/camera-architect?team=HRDWR
Image Quality Validation Engineer - Camera Hardware,Hardware,,2026-06-05,200666885,apple,2026-06-05,2026-06-08,0.148,https://jobs.apple.com/en-us/details/200666885-0836/image-quality-validation-engineer-camera-hardware?team=HRDWR
Camera Architect,Hardware,,2026-06-05,200666879,apple,2026-06-05,2026-06-08,0.1834,https://jobs.apple.com/en-us/details/200666879-3956/camera-architect?team=HRDWR
Camera System Integration Engineer,Hardware,,2026-06-05,200666846,apple,2026-06-05,2026-06-08,0.2063,https://jobs.apple.com/en-us/details/200666846-3543/camera-system-integration-engineer?team=HRDWR
Position Sensing Systems Engineer,Hardware,,2026-06-05,200665370,apple,2026-06-05,2026-06-08,0.3742,https://jobs.apple.com/en-us/details/200665370-3543/position-sensing-systems-engineer?team=HRDWR
WW RCC Data Scientist,Corporate Functions,,2026-06-05,200665575,apple,2026-06-05,2026-06-08,0.3407,https://jobs.apple.com/en-us/details/200665575-0836/ww-rcc-data-scientist?team=CORSV
"iOS Engineer, Visual Productivity",Software and Services,,2026-06-05,200663978,apple,2026-06-05,2026-06-08,0.3055,https://jobs.apple.com/en-us/details/200663978-0836/ios-engineer-visual-productivity?team=SFTWR
Materials Engineer,Hardware,,2026-06-05,200666944,apple,2026-06-05,2026-06-05,0.2987,https://jobs.apple.com/en-us/details/200666944-0836/materials-engineer?team=HRDWR
"Engineering Program Manager, Demo Production Engineering",Corporate Functions,,2026-06-04,200666715,apple,2026-06-04,2026-06-08,0.3315,https://jobs.apple.com/en-us/details/200666715-3956/engineering-program-manager-demo-production-engineering?team=CORSV
"Engineering Project Manager, Cross-Functional Programs",Software and Services,,2026-06-04,200666693,apple,2026-06-04,2026-06-08,0.3564,https://jobs.apple.com/en-us/details/200666693-0836/engineering-project-manager-cross-functional-programs?team=SFTWR
"Program Manager, Finance Transformation - Data Strategy",Corporate Functions,,2026-06-04,200665957,apple,2026-06-04,2026-06-08,0.3575,https://jobs.apple.com/en-us/details/200665957-0157/program-manager-finance-transformation-data-strategy?team=CORSV
"Software Engineer, Apps",Software and Services,,2026-06-04,200661273,apple,2026-06-04,2026-06-08,0.3493,https://jobs.apple.com/en-us/details/200661273-2926/software-engineer-apps?team=SFTWR
Sr. CI Tooling & Infrastructure Engineer - Xcode,Software and Services,,2026-06-04,200666807,apple,2026-06-04,2026-06-08,0.3378,https://jobs.apple.com/en-us/details/200666807-3543/sr-ci-tooling-infrastructure-engineer-xcode?team=SFTWR
"Sr. Engineering Project Manager, Build and Release",Software and Services,,2026-06-04,200666811,apple,2026-06-04,2026-06-08,0.3005,https://jobs.apple.com/en-us/details/200666811-0157/sr-engineering-project-manager-build-and-release?team=SFTWR
"SDS Fraud Investigator, Apple Store Online",Support and Service,,2026-06-04,200666458,apple,2026-06-04,2026-06-08,0.2445,https://jobs.apple.com/en-us/details/200666458-0157/sds-fraud-investigator-apple-store-online?team=CUST
Software Engineer in Natural Language Processing (NLP) and Machine Learning (ML),Machine Learning and AI,,2026-06-04,200666537,apple,2026-06-04,2026-06-08,0.4726,https://jobs.apple.com/en-us/details/200666537-0836/software-engineer-in-natural-language-processing-nlp-and-machine-learning-ml?team=MLAI
"Operations Critical Facilities Supervisor, Data Center",Corporate Functions,,2026-06-04,200666845,apple,2026-06-04,2026-06-08,0.3994,https://jobs.apple.com/en-us/details/200666845-6709/operations-critical-facilities-supervisor-data-center?team=CORSV
"Sr Machine Learning Engineer, Proactive",Machine Learning and AI,,2026-06-04,200661999,apple,2026-06-04,2026-06-08,0.376,https://jobs.apple.com/en-us/details/200661999-3760/sr-machine-learning-engineer-proactive?team=MLAI
Machine Learning Engineer - Visual Intelligence,Software and Services,,2026-06-04,200666805,apple,2026-06-04,2026-06-08,0.4006,https://jobs.apple.com/en-us/details/200666805-3337/machine-learning-engineer-visual-intelligence?team=SFTWR
Substrate Technologist,Hardware,Various Locations within San Francisco Bay Area,2026-06-04,200666852,apple,2026-06-04,2026-06-08,0.2355,https://jobs.apple.com/en-us/details/200666852-3401/substrate-technologist?team=HRDWR
