title,team,location,posted_date,url,source,job_category,description,job_id,first_seen_date,last_seen_date
"STA: University Recruiter (AM), Operations University Recruiting",studentprograms,"US, Virtual",2026-05-29,https://www.amazon.jobs/en/jobs/10434610/sta-university-recruiter-am-operations-university-recruiting,amazon,Administrative Support,"Note: This opportunity is only open to L4 and L5 Area Managers (Manager I, Operations or Manager II, Operations) based in the United States and Canada.**This STA will maintain current reporting lines.",10434610,2026-05-29,2026-05-29
"Software Development Engineer, Amazon Leo Trust Services, Leo Security",amazon-security,"US, VA, Arlington",2026-05-29,https://www.amazon.jobs/en/jobs/10434625/software-development-engineer-amazon-leo-trust-services-leo-security,amazon,Software Development,"Amazon Leo is Amazon’s low Earth orbit satellite network. Our mission is to deliver fast, reliable internet connectivity to customers beyond the reach of existing networks. From individual households to",10434625,2026-05-29,2026-05-29
"Senior Station Manager, RSR",fulfillment-and-operations,"US, VA, Waynesboro",2026-05-29,https://www.amazon.jobs/en/jobs/10433870/senior-station-manager-rsr,amazon,Fulfillment & Operations Management,*This is for a new RSR delivery station launch. This RSR station's operation will include the RSR+ operation which brings same day fulfillment to rural delivery stations*RSR Sr. Station Leaders are responsible,10433870,2026-05-29,2026-05-29
"Sr. Solutions Architect, Life Sciences",aws,"US, WA, Seattle",2026-05-29,https://www.amazon.jobs/en/jobs/10434644/sr-solutions-architect-life-sciences,amazon,Solutions Architect,"As part of the AWS Applied AI Solutions organization, we have a vision to provide business applications, leveraging Amazon’s unique experience and expertise, that are used by millions of companies worldwide",10434644,2026-05-29,2026-05-29
"Accounting Manager, Corporate Reporting",finance,"US, WA, Seattle",2026-05-29,https://www.amazon.jobs/en/jobs/10434440/accounting-manager-corporate-reporting,amazon,Finance & Accounting,"Amazon is a pioneering, dynamic, and energetic company that thrives on unique and peculiar ways. We take pride in our single-minded obsession over customer satisfaction and our ability to maintain a curious",10434440,2026-05-29,2026-05-29
"Principal Product Manager - Technical, AWS Life Sciences ",aws,"US, WA, Seattle",2026-05-29,https://www.amazon.jobs/en/jobs/10433850/principal-product-manager-technical-aws-life-sciences,amazon,Project/Program/Product Management--Technical,"As part of the AWS Applied AI Solutions organization, we have a vision to provide business applications, leveraging Amazon’s unique experience and expertise, that are used by millions of companies worldwide",10433850,2026-05-29,2026-05-29
"Executive Research Recruiter, Design Research , Global Specialty Recruiting ",global-corporate,"US, WA, Seattle",2026-05-29,https://www.amazon.jobs/en/jobs/10433902/executive-research-recruiter-design-research-global-specialty-recruiting,amazon,Human Resources,Amazon Global Specialty Recruiting is looking for an Research Recruiter to help the business scale by identifying and recruiting top talent for executive level positions. This is a high visibility role,10433902,2026-05-29,2026-05-29
"Data Center Engineering Operations Tech III, CMH55",aws,"US, OH, Hilliard",2026-05-29,https://www.amazon.jobs/en/jobs/10434166/data-center-engineering-operations-tech-iii-cmh55,amazon,"Operations, IT, & Support Engineering","Join our dynamic team and become a critical guardian of technological infrastructure! As a Data Center Engineering Technician, you'll play a pivotal role in maintaining the heartbeat of mission-critical",10434166,2026-05-29,2026-05-29
"Engineering Operation Technician, AWS Data Center team ",aws,"US, NV, Sparks",2026-05-29,https://www.amazon.jobs/en/jobs/10433914/engineering-operation-technician-aws-data-center-team,amazon,"Operations, IT, & Support Engineering","Join our dynamic team and become a critical guardian of technological infrastructure! As a Data Center Engineering Technician, you'll play a pivotal role in maintaining the heartbeat of mission-critical",10433914,2026-05-29,2026-05-29
"Software Development Engineer, eero B2B team",alexa-and-amazon-devices,"US, CA, Los Gatos",2026-05-29,https://www.amazon.jobs/en/jobs/10434056/software-development-engineer-eero-b2b-team,amazon,Software Development,"At eero, our mission is to serve as the central nervous system of the home. While we began by revolutionizing home WiFi, we aim to create comprehensive solutions that serve both wireless and wired connectivity",10434056,2026-05-29,2026-05-29
